Kind, Manufacturer, Pattern Name, Pattern Number, Item Number, Description
silver, W & G Sissons, W2S1 (SILVERPLATE, HOLLOWWARE), n/a, 401826,  SILVERPLATE, HOLLOWWARE ONLY
silver, W A Bolin, WBN1 (STERLING, HOLLOWWARE), n/a, 392035,  STERLING, HOLLOWWARE
silver, W H Saart Co, Misc Sterling Hollowware, n/a, 325038,  STERLING, MISCELLANEOUS HOLLOWWARE
silver, W H Saart Co, SRQ1 (STERLING,HOLLOWWARE), n/a, 239594,  STERLING,HOLLOWWARE
silver, W J Myatt & Co. Ltd, Misc. Sterling Hollowware, n/a, 377048,  STERLING, HOLLOWWARE
silver, W Moir, Wm1 (Sterling), n/a, 250582,  STERLING,ENGRAVED LEAVES,ROUND TIP
silver, W N Root & Brother, W1R1 (COIN), n/a, 327030,  COIN SILVER,CT,1850,FIDDLE,TIPPED,ROUND
silver, W P Jones, WPJ1 (COIN), 1827, 277235,  COIN SILVER,MA,1827,TIPT
silver, W P Jones, WPJ2 (COIN), n/a, 292927,  COIN,MA,ROUND TIP, NO DESIGN
silver, W P Jones, WPJ3 (COIN), n/a, 370859,  COIN SILVER, MA, ENGRAVED FERN
silver, W S Taylor, WTY1 (SILVERPLATE), n/a, 257128,   SILVERPLATE,SCROLLS &AMP; FLOWERS
silver, W. A. Liddon, W5L1 (COIN), n/a, 417134,  COIN SILVER, FIDDLE HANDLE, WINGS
silver, W. C. Smith, WTH1 (COIN), n/a, 417206,  COIN SILVER, TIPPED, FIDDLE, WINGS
silver, W. D. Wilson, WWS1 (COIN), n/a, 362880,  COIN SILVER,SC,1854,FIDDLE,WINGS
silver, W. M. Dalton, A La Carte (Stainless), 361, 235234,  STAINLESS,18/10,EUROSIZE,CENTER RIDGE
silver, W. M. Dalton, Adriene (Stainless), 272, 132209,  STAINLESS,18/10,EUROSIZE,CHINA,GLOSSY
silver, W. M. Dalton, Alberta (Stainless), n/a, 96960,  STAINLESS, 18/8, JAPAN, GLOSSY
silver, W. M. Dalton, Alberta (Stainless), n/a, 96961,  STAINLESS, ROGERS, KOREA, SATIN
silver, W. M. Dalton, Alexis (Stainless, Not Pierced), n/a, 96962,  STAINLESS, ROGERS, KOREA, GLOSSY
silver, W. M. Dalton, Alexis (Stainless, Pierced), n/a, 96963,  STAINLESS, JAPAN, GLOSSY, PIERCED
silver, W. M. Dalton, Allison (Stainless), 323, 96964,  STAINLESS,ROGERS CO, GLOSSY
silver, W. M. Dalton, Americana (Stainless), n/a, 96965,  STAINLESS, JAPAN, SIZ, SATIN HANDLE
silver, W. M. Dalton, Antiqua (Stainless), n/a, 96969,  STAINLESS, JAPAN, CENTER RIDGE
silver, W. M. Dalton, Antique Rose (Stainless), n/a, 96966,  STAINLESS, GLOSSY, FLOWERS &AMP; SCROLLS
silver, W. M. Dalton, Antique Shell (Stainless), 423, 96968,  STAINLESS, KOREA, GLOSSY, SHELL TIP
silver, W. M. Dalton, Antique Shell (Stainless), 423, 96967,  STAINLESS, GLOSSY, SHELL TIP, OUTLINED
silver, W. M. Dalton, Appian Way (Stainless), n/a, 96970,  STAINLESS, JAPAN, LATTICE, DOTS, CIRCLES
silver, W. M. Dalton, Arcade (Stainless), 523, 96971,  STAINLESS,ROGERS,CHINA,SATIN,WAVY LINES
silver, W. M. Dalton, Argentine (Gold Electroplated), n/a, 96972,  GOLD ELECTROPLATE
silver, W. M. Dalton, Arosa (Stainless, Enamel), n/a, 96973,  STAINLESS, JAPAN, YELLOW ENAMEL LINES
silver, W. M. Dalton, Astro (Stainless), n/a, 96974,  STAINLESS,SRI,SATIN HDL,GLOSSY BWL
silver, W. M. Dalton, Athena (Stainless), n/a, 96975,  STAINLESS,SRI,JAPAN, SCROLLS, LEAVES
silver, W. M. Dalton, Athena Gold (Gold Electroplate), n/a, 356732,  GOLD ELECTROPLATE,SRI,SCROLLS&AMP;LEAVES
silver, W. M. Dalton, Auberge (Stainless), n/a, 96976,  STAINLESS, ROGERS, SATIN, SCROLLS
silver, W. M. Dalton, Autumn Ballad (Stainless), n/a, 96977,  STAINLESS, ROGERS, KOREA, PIERCED
silver, W. M. Dalton, Autumn Leaves, n/a, 155022,  STAINLESS, GLOSSY, TEXTURED W/3 LEAVES
silver, W. M. Dalton, Avante (Stainless), n/a, 96978,  STAINLESS, GLOSSY, PLAIN, FLAT TIP
